"Reference","Qty","MPN","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Beschreibung"
"A2","1","","Main_PCB_WSC_IoT","","Von Bauteilliste ausgeschlossen","Von Platine ausgeschlossen","Main_PCB_WSC_IoT:Main_PCB_WSC_IoT","https://iversion.informatik.htw-dresden.de/smartproductionsystems/projects/oshie/htw-water-sample-collector","Main PCB for water sample collector"
"BT1","1","","Battery_Cell","","Von Bauteilliste ausgeschlossen","Von Platine ausgeschlossen","Battery:BatteryHolder_Keystone_2460_1xAA","~","Single-cell battery"
"C1","1","860080672001","22 µF","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","Polarized capacitor, small symbol"
"D1","1","1N4148W","1N4148W","","","","PCM_Diode_SMD_AKL:D_SOD-123","https://datasheet.octopart.com/1N4148W-HE3-18-Vishay-datasheet-17291302.pdf","SOD-123 Diode, Small Signal, Fast Switching, 75V, 150mA, 4ns, Alternate KiCad Library"
"J1","1","G800W302018EU","Conn_01x06_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~","Generic connector, single row, 01x06, script generated"
"J2","1","","Conn_01x06_Socket","","Von Bauteilliste ausgeschlossen","Von Platine ausgeschlossen","","~","Generic connector, single row, 01x06, script generated"
"J3","1","","Conn_01x01_Socket","","","","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","~","Generic connector, single row, 01x01, script generated"
"J4","1","","Conn_01x02_Socket","","","","Connector_Wire:SolderWire-2.5sqmm_1x02_P8.8mm_D2.4mm_OD4.4mm","~","Generic connector, single row, 01x02, script generated"
"J5","1","1600103/100","Conn_01x03_Pin","","","Von Platine ausgeschlossen","","~","Cable 3 wire (LAPP 1600103/100 Anschlussleitung H07RN-F 3 x 1.5mm² Schwarz 100m)"
"R1,R2","2","","10k","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor, small symbol"
"R3","1","","680k","","","","Resistor_SMD:R_0805_2012Metric","~","Resistor, small symbol"
"SW1","1","MDSR-7-10-20","SW_Reed","","","Von Platine ausgeschlossen","","https://www.littelfuse.com/assetdocs/littelfuse_reed_switches_mdsr_7_datasheet.pdf?assetguid=8d0ebe17-0315-4316-87d3-e69a30fe1b54","SWITCH REED SPST-NO 350MA 140V"
